OrignalFilnavn;NytFilnavn;Gruppe;Undergruppe;Branche;Coincidence;Status
Ankenævnskendelse - vaskemaskine vælter.aspx;Ankenævnskendelse - vaskemaskine vælter.aspx;Ankenævnskendelse;Afsnit 7. Pludselig skade;Bygning;False;Error
Ankenævnskendelse bygningstilbehør.aspx;Ankenævnskendelse bygningstilbehør.aspx;Ankenævnskendelse;Alle dækninger;Bygning;False;Error
Ankenævnskendelse eget arbejde.aspx;Ankenævnskendelse eget arbejde.aspx;Ankenævnskendelse ;Alle dækninger;Bygning;False;Error
Ankenævnskendelse bygninger.aspx;Ankenævnskendelse bygninger.aspx;Ankenævnskendelse;;Bygning;False;Error
Ankenævnskendelser vedrørende manglende vedligeholdelse i forbindelse med stormskader.aspx;Ankenævnskendelser vedrørende manglende vedligeholdelse i forbindelse med stormskader.aspx;Ankenævnskendelse;Vilkårenes afsnit 6. Storm;Bygning;False;Error
Ankenævnskendelse - beholder falder ned fra væg.aspx;Ankenævnskendelse - beholder falder ned fra væg.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Ankenævnskendelser vedrørende vandindtræning under storm.aspx;Ankenævnskendelser vedrørende vandindtræning under storm.aspx;Ankenævnskendelse;Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk;Bygning;False;Error
Ankenævnskendelse vedrørende tøbrud.aspx;Ankenævnskendelse vedrørende tøbrud.aspx;Ankenævnskendelse ;Afsnit 6: Storm - voldsomt sky-og tøbrud - snetryk;Bygning;False;Error
Ankenævnskendelse genhusning.aspx;Ankenævnskendelse genhusning.aspx;Ankenævnskendelse;;Bygning;False;Error
Ankenævnskendelse frifindelse i straffesag betyder ikke nødvendigvis forsikringsdækning.aspx;Ankenævnskendelse frifindelse i straffesag betyder ikke nødvendigvis forsikringsdækning.aspx;Ankenævnskendelse;;Bygning;False;Error
Ankenævnskendelse det tidsmæssige krav i pludselig skade dækningen.aspx;Ankenævnskendelse det tidsmæssige krav i pludselig skade dækningen.aspx;Ankenævnskendelse;Afsnit 7: Pludselig skade;Bygning;False;Error
Behandling af glas og kummeskader.aspx;Behandling af glas og kummeskader.aspx;Erstatningsopgørelse;Kolonne 8. Glas og sanitet;Bygning;False;Error
Erstatning ved om- eller tilbygning.aspx;Erstatning ved om- eller tilbygning.aspx;Erstatningsopgørelse;Afsnit 4: Tyveri - hærværk, Afsnit 5: Udstrømning af væsker (vandskade] og frostsprængning af rør, Afsnit 7: pludselig skade, Afsnit 8: Glas og sanitet;Bygning;False;Error
Erstatning for glas i ovn og keramiske kogeplader.aspx;Erstatning for glas i ovn og keramiske kogeplader.aspx;Erstatningsopgørelse;Afsnit 8: Glas og sanitet;Bygning;False;Error
Erstatning ved identifikation.aspx;Erstatning ved identifikation.aspx;Erstatningsopgørelse ;Alle dækninger;Bygning;False;Error
Erstatning ved mangelfuld vedligeholdelse.aspx;Erstatning ved mangelfuld vedligeholdelse.aspx;Erstatningsopgørelse;Afsnit 4: Tyveri - hærværk, Afsnit 6: Storm - voldsomt sky- og tøbrud - snetryk, Afsnit 7: Pludselig skade, Afsnit 11: Råd/svamp, Afsnit 12: Insekter;Bygning;False;Error
Erstatning for jordvarmeledninger.aspx;Erstatning for jordvarmeledninger.aspx;Erstatningsopgørelse;Stikledninger;Bygning;False;Error
Erstatning for postkasse.aspx;Erstatning for postkasse.aspx;Erstatningsopgørelse;Alle dækninger;Bygning;False;Error
Erstatning i forbindelse med skilsmisse eller samlivsophør.aspx;Erstatning i forbindelse med skilsmisse eller samlivsophør.aspx;Erstatningsopgørelse;Skilsmisse/samlivsophør;Bygning;False;Error
